Date,Time,Lat,Lon
18/1/2026,6:48:18,14.214469,101.179176
18/1/2026,6:48:19,14.214469,101.179179
18/1/2026,6:48:20,14.214474,101.179181
18/1/2026,6:48:21,14.214478,101.179185
18/1/2026,6:48:22,14.214486,101.179188
18/1/2026,6:48:23,14.214493,101.179192
18/1/2026,6:48:24,14.214498,101.179195
18/1/2026,6:48:25,14.214504,101.179197
18/1/2026,6:48:26,14.21451,101.179199
18/1/2026,6:48:27,14.214515,101.179202
18/1/2026,6:48:28,14.214522,101.179207
18/1/2026,6:48:29,14.214527,101.179209
18/1/2026,6:48:30,14.214532,101.179214
18/1/2026,6:48:31,14.214539,101.179216
18/1/2026,6:48:32,14.214542,101.179216
18/1/2026,6:48:33,14.214548,101.179219
18/1/2026,6:48:34,14.214558,101.179222
18/1/2026,6:48:35,14.214563,101.179224
18/1/2026,6:48:36,14.214568,101.179228
18/1/2026,6:48:37,14.214577,101.179231
18/1/2026,6:48:38,14.214585,101.179233
18/1/2026,6:48:39,14.214591,101.179234
18/1/2026,6:48:37,14.214599,101.179236
18/1/2026,6:48:38,14.214605,101.179234
18/1/2026,6:48:39,14.214607,101.179232
18/1/2026,6:48:40,14.214611,101.17923
18/1/2026,6:48:41,14.214615,101.179224
18/1/2026,6:48:42,14.214619,101.179221
18/1/2026,6:48:43,14.214626,101.179222
18/1/2026,6:48:44,14.214631,101.179216
18/1/2026,6:48:45,14.214632,101.179209
18/1/2026,6:48:46,14.214632,101.179205
18/1/2026,6:48:47,14.214633,101.179199
18/1/2026,6:48:48,14.214632,101.179192
18/1/2026,6:48:49,14.214632,101.179186
18/1/2026,6:48:50,14.214628,101.179179
18/1/2026,6:48:51,14.214622,101.179171
18/1/2026,6:48:52,14.214613,101.179164
18/1/2026,6:48:53,14.214607,101.179155
18/1/2026,6:48:54,14.214603,101.179149
18/1/2026,6:48:55,14.214598,101.179141
18/1/2026,6:48:56,14.214594,101.179135
18/1/2026,6:48:57,14.21459,101.17913
18/1/2026,6:48:58,14.214584,101.179124
18/1/2026,6:48:59,14.214573,101.179122
18/1/2026,6:49:0,14.214565,101.17912
18/1/2026,6:49:1,14.214558,101.179118
18/1/2026,6:49:2,14.214546,101.179115
18/1/2026,6:49:3,14.214537,101.179113
18/1/2026,6:49:4,14.214529,101.17911
18/1/2026,6:49:5,14.214521,101.179103
18/1/2026,6:49:6,14.214512,101.179095
18/1/2026,6:49:7,14.214504,101.179087
18/1/2026,6:49:8,14.214499,101.179083
18/1/2026,6:49:9,14.214493,101.179078
18/1/2026,6:49:10,14.214484,101.179075
18/1/2026,6:49:11,14.214474,101.179074
18/1/2026,6:49:12,14.214467,101.179073
18/1/2026,6:49:13,14.21446,101.179071
18/1/2026,6:49:14,14.21445,101.179067
18/1/2026,6:49:15,14.214439,101.179063
18/1/2026,6:49:16,14.21443,101.179059
18/1/2026,6:49:17,14.214424,101.179056
18/1/2026,6:49:18,14.214415,101.179051
18/1/2026,6:49:19,14.214407,101.179048
18/1/2026,6:49:20,14.214399,101.179046
18/1/2026,6:49:21,14.214393,101.17904
18/1/2026,6:49:22,14.214386,101.179033
18/1/2026,6:49:23,14.214379,101.179026
18/1/2026,6:49:24,14.214372,101.179023
18/1/2026,6:49:25,14.214367,101.179018
18/1/2026,6:49:26,14.214359,101.179012
18/1/2026,6:49:27,14.21435,101.179007
18/1/2026,6:49:28,14.214342,101.179006
18/1/2026,6:49:29,14.214336,101.179005
18/1/2026,6:49:30,14.214328,101.179005
18/1/2026,6:49:31,14.214316,101.179005
18/1/2026,6:49:32,14.214308,101.179005
18/1/2026,6:49:33,14.214301,101.179003
18/1/2026,6:49:34,14.214292,101.179001
18/1/2026,6:49:35,14.214281,101.179
18/1/2026,6:49:36,14.214274,101.178998
18/1/2026,6:49:37,14.214268,101.178993
18/1/2026,6:49:38,14.214262,101.178986
18/1/2026,6:49:39,14.214254,101.178978
18/1/2026,6:49:40,14.214248,101.178975
18/1/2026,6:49:41,14.214242,101.178972
18/1/2026,6:49:42,14.214231,101.178971
18/1/2026,6:49:43,14.21422,101.17897
18/1/2026,6:49:44,14.214214,101.178973
18/1/2026,6:49:45,14.214208,101.178977
18/1/2026,6:49:46,14.214198,101.178979
18/1/2026,6:49:47,14.214194,101.178985
18/1/2026,6:49:48,14.214196,101.179
18/1/2026,6:49:49,14.214193,101.179012
18/1/2026,6:49:50,14.21419,101.179021
18/1/2026,6:49:51,14.214187,101.179026
18/1/2026,6:49:52,14.214182,101.179032
18/1/2026,6:49:53,14.214176,101.179039
18/1/2026,6:49:54,14.214171,101.179045
18/1/2026,6:49:55,14.214167,101.179043
18/1/2026,6:49:56,14.214158,101.179045
18/1/2026,6:49:57,14.214151,101.17905
18/1/2026,6:49:58,14.214144,101.179052
18/1/2026,6:49:59,14.214136,101.179055
18/1/2026,6:50:0,14.214129,101.179057
18/1/2026,6:50:1,14.214122,101.179062
18/1/2026,6:50:2,14.214115,101.179068
18/1/2026,6:50:3,14.214109,101.179074
18/1/2026,6:50:4,14.214103,101.179079
18/1/2026,6:50:5,14.214097,101.179083
18/1/2026,6:50:6,14.214091,101.179091
18/1/2026,6:50:7,14.214086,101.179098
18/1/2026,6:50:8,14.214081,101.179104
